2026-04-02 16:55:15 [ERROR] __main__ - Attempt 1 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:17 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:17 [ERROR] __main__ - Attempt 2 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:19 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:19 [ERROR] __main__ - Attempt 3 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:21 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:21 [ERROR] __main__ - Attempt 1 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:23 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:23 [ERROR] __main__ - Attempt 2 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:25 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:25 [ERROR] __main__ - Attempt 3 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:27 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:27 [ERROR] __main__ - Attempt 1 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:29 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:29 [ERROR] __main__ - Attempt 2 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:31 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:31 [ERROR] __main__ - Attempt 3 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:33 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:33 [ERROR] __main__ - Attempt 1 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:35 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:35 [ERROR] __main__ - Attempt 2 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:37 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:37 [ERROR] __main__ - Attempt 3 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:41 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:41 [ERROR] __main__ - Attempt 1 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:43 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:43 [ERROR] __main__ - Attempt 2 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:45 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:45 [ERROR] __main__ - Attempt 3 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:47 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:47 [ERROR] __main__ - Attempt 1 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:49 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
